none,some,many
L24,L7,L19
L26,L9,L53
L10,L15,L61
L12,L25,L90
L13,L16,L102
L27,L85,L103
L36,L104,L108
L68,L106,R119
L79,L110,L114
L89,L117,L152
L100,L118,L162
L132,L124,L176
R132,L126,L201
L135,L137,L202
L139,L147,L203
L165,L148,L210
L166,L156,L442
L181,L159,L600
L190,L174,L728
L195,L219,L744
L216,L441,
L256,L601,
L327,L603,
L328,L708,
L511,L711,
L701,L719,
L764,,
